Tree: KdTree; AugType: HasBox; Split: MaxStretchDim-ObjectMedian; BDO: 6; Inba: 30; Coord: integer; 
1.in 
# Insert
## 0.0001
median: (3099, 0.002612)-> min: (68, 0.0011325)-> max: (6558, 2.5135)-> tot: 52.7202-> avg: 0.00527152
range query time: 
0 9 1.700000e-05
0 76 1.100000e-05
0 38 2.000000e-06
0 38 2.000000e-06
0 40 2.000000e-06
0 4 1.000000e-06
0 36 2.000000e-06
0 42 3.000000e-06
0 26 1.000000e-06
0 16 1.000000e-06
0 35 6.000000e-06
0 83 5.000000e-06
0 14 0.000000e+00
0 69 2.000000e-06
0 9 1.000000e-06
0 60 2.000000e-06
0 55 1.000000e-06
0 15 1.000000e-06
0 40 1.000000e-06
0 27 1.000000e-06
0 13 1.000000e-06
0 5 1.000000e-06
0 25 3.000000e-06
0 95 3.000000e-06
0 83 2.000000e-06
0 15 0.000000e+00
0 68 1.000000e-06
0 38 1.000000e-06
0 30 1.000000e-06
0 12 1.000000e-06
0 20 4.000000e-06
0 42 2.000000e-06
0 32 1.000000e-06
0 10 1.000000e-06
0 31 5.000000e-06
0 21 1.000000e-06
0 91 6.000000e-06
0 14 1.000000e-06
0 77 2.000000e-06
0 61 1.000000e-06
0 53 1.000000e-06
0 41 1.000000e-06
0 41 1.000000e-06
0 40 1.000000e-06
0 30 1.000000e-06
0 10 1.000000e-06
0 1 1.000000e-06
0 12 1.000000e-06
0 8 1.000000e-06
0 16 1.000000e-06
0 74 8.000000e-06
0 34 3.000000e-06
0 40 2.000000e-06
0 31 1.000000e-06
0 9 1.000000e-06
0 40 7.000000e-06
0 33 2.000000e-06
0 7 2.000000e-06
0 27 1.000000e-06
0 96 6.000000e-06
0 91 2.000000e-06
0 75 1.000000e-06
0 26 2.000000e-06
0 49 2.000000e-06
0 40 1.000000e-06
0 29 1.000000e-06
0 11 1.000000e-06
0 9 1.000000e-06
0 16 1.000000e-06
0 5 1.000000e-06
0 61 1.100000e-05
0 38 7.000000e-06
0 23 3.000000e-06
0 42 6.000000e-06
0 42 2.000000e-06
0 20 1.000000e-06
0 22 1.000000e-06
0 74 4.000000e-06
0 62 2.000000e-06
0 12 1.000000e-06
0 50 1.000000e-06
0 23 2.000000e-06
0 27 2.000000e-06
0 12 2.000000e-06
0 72 4.000000e-06
0 42 1.000000e-06
0 3 0.000000e+00
0 39 1.000000e-06
0 30 1.000000e-06
0 80 3.000000e-06
0 10 1.000000e-06
0 70 2.000000e-06
0 55 1.000000e-06
0 45 1.000000e-06
0 7 1.000000e-06
0 38 1.000000e-06
0 10 0.000000e+00
0 15 1.000000e-06
0 15 3.000000e-06
0 29 3.000000e-06
1 2754 8.300000e-05
1 1686 1.300000e-05
1 1191 1.200000e-05
1 950 1.000000e-05
1 241 4.000000e-06
1 495 8.000000e-06
1 1068 1.200000e-05
1 712 7.000000e-06
1 356 4.000000e-06
1 1965 1.020000e-04
1 843 9.000000e-06
1 1122 1.400000e-05
1 1028 1.100000e-05
1 980 9.000000e-06
1 631 2.700000e-05
1 9800 3.000000e-04
1 8510 8.100000e-05
1 4726 6.600000e-05
1 3851 2.800000e-05
1 350 3.000000e-06
1 3501 2.500000e-05
1 2667 1.900000e-05
1 2461 1.900000e-05
1 645 7.000000e-06
1 1816 1.400000e-05
1 761 6.000000e-06
1 1055 9.000000e-06
1 404 5.000000e-06
1 651 6.000000e-06
1 206 6.000000e-06
1 834 1.000000e-05
1 875 1.600000e-05
1 3784 7.300000e-05
1 3080 2.600000e-05
1 3021 2.300000e-05
1 864 1.100000e-05
1 2157 1.800000e-05
1 573 7.000000e-06
1 1584 1.200000e-05
1 633 8.000000e-06
1 951 9.000000e-06
1 704 6.000000e-06
1 1290 4.700000e-05
1 109 4.000000e-06
1 1181 1.100000e-05
1 278 4.000000e-06
1 903 9.000000e-06
1 5678 2.010000e-04
1 3505 4.900000e-05
1 580 1.500000e-05
1 2925 2.200000e-05
1 964 1.500000e-05
1 1961 1.800000e-05
1 1544 1.700000e-05
1 954 1.000000e-05
1 590 6.000000e-06
1 417 7.000000e-06
1 2173 5.900000e-05
1 599 8.000000e-06
1 1574 2.000000e-05
1 395 5.000000e-06
1 1179 1.400000e-05
1 1171 1.100000e-05
1 807 1.000000e-05
1 364 7.000000e-06
1 1036 5.600000e-05
1 638 1.200000e-05
1 398 8.000000e-06
1 3897 1.570000e-04
1 3060 3.000000e-05
1 2455 1.900000e-05
1 2366 1.400000e-05
1 1337 9.000000e-06
1 101 6.000000e-06
1 1236 1.000000e-05
1 1173 1.000000e-05
1 1054 9.000000e-06
1 1035 7.000000e-06
1 658 5.000000e-06
1 377 4.000000e-06
1 119 3.000000e-06
1 1029 1.000000e-05
1 177 5.000000e-06
1 852 9.000000e-06
1 605 1.100000e-05
1 837 2.000000e-05
1 6999 2.570000e-04
1 5158 6.500000e-05
